invocation: /home/rob/github/upside2-md/obj/upside --duration 5000 --frame-interval 50 --temperature 0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999 --seed 1 --disable-z-recentering .//outputs/memb_test/1qhj.run.0.up .//outputs/memb_test/1qhj.run.1.up .//outputs/memb_test/1qhj.run.2.up .//outputs/memb_test/1qhj.run.3.up .//outputs/memb_test/1qhj.run.4.up .//outputs/memb_test/1qhj.run.5.up .//outputs/memb_test/1qhj.run.6.up .//outputs/memb_test/1qhj.run.7.up
random seed: 1
.//outputs/memb_test/1qhj.run.0.up
n_atom 684

.//outputs/memb_test/1qhj.run.1.up
n_atom 684

.//outputs/memb_test/1qhj.run.2.up
n_atom 684

.//outputs/memb_test/1qhj.run.3.up
n_atom 684

.//outputs/memb_test/1qhj.run.4.up
n_atom 684

.//outputs/memb_test/1qhj.run.5.up
n_atom 684

.//outputs/memb_test/1qhj.run.6.up
n_atom 684

.//outputs/memb_test/1qhj.run.7.up
n_atom 684


0 0.80
1 0.80
2 0.80
3 0.80
4 0.80
5 0.80
6 0.80
7 0.80

Initial potential energy: -546.14 -546.14 -546.14 -546.14 -546.14 -546.14 -546.14 -546.14
   0 / 5000 elapsed  0 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  3 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  6 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  2 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  7 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  5 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  1 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  4 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
  50 / 5000 elapsed  1 system 0.80 temp 298.0 hbonds, Rg  17.8 A, potential  -594.33
  50 / 5000 elapsed  3 system 0.80 temp 300.1 hbonds, Rg  17.8 A, potential  -574.63
  50 / 5000 elapsed  4 system 0.80 temp 293.4 hbonds, Rg  17.7 A, potential  -573.77
  50 / 5000 elapsed  5 system 0.80 temp 300.3 hbonds, Rg  17.9 A, potential  -543.33
  50 / 5000 elapsed  0 system 0.80 temp 304.8 hbonds, Rg  17.8 A, potential  -572.22
  50 / 5000 elapsed  7 system 0.80 temp 300.9 hbonds, Rg  17.9 A, potential  -548.79
