invocation: /home/rob/github/upside2-md/obj/upside --duration 5000 --frame-interval 50 --temperature 0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999 --seed 1 --disable-recentering .//outputs/pulling_test/1qhj.run.0.up .//outputs/pulling_test/1qhj.run.1.up .//outputs/pulling_test/1qhj.run.2.up .//outputs/pulling_test/1qhj.run.3.up .//outputs/pulling_test/1qhj.run.4.up .//outputs/pulling_test/1qhj.run.5.up .//outputs/pulling_test/1qhj.run.6.up .//outputs/pulling_test/1qhj.run.7.up
random seed: 1
.//outputs/pulling_test/1qhj.run.0.up
n_atom 684

.//outputs/pulling_test/1qhj.run.1.up
n_atom 684

.//outputs/pulling_test/1qhj.run.2.up
n_atom 684

.//outputs/pulling_test/1qhj.run.3.up
n_atom 684

.//outputs/pulling_test/1qhj.run.4.up
n_atom 684

.//outputs/pulling_test/1qhj.run.5.up
n_atom 684

.//outputs/pulling_test/1qhj.run.6.up
n_atom 684

.//outputs/pulling_test/1qhj.run.7.up
n_atom 684


0 0.80
1 0.80
2 0.80
3 0.80
4 0.80
5 0.80
6 0.80
7 0.80

Initial potential energy: -546.14 -546.14 -546.14 -546.14 -546.14 -546.14 -546.14 -546.14
   0 / 5000 elapsed  0 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  6 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  2 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  7 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  5 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  3 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  4 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  1 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
  50 / 5000 elapsed  4 system 0.80 temp 306.7 hbonds, Rg  17.8 A, potential  -579.28
  50 / 5000 elapsed  5 system 0.80 temp 304.0 hbonds, Rg  18.1 A, potential  -608.02
  50 / 5000 elapsed  0 system 0.80 temp 303.0 hbonds, Rg  17.9 A, potential  -555.40
  50 / 5000 elapsed  1 system 0.80 temp 301.0 hbonds, Rg  17.9 A, potential  -550.73
  50 / 5000 elapsed  6 system 0.80 temp 292.6 hbonds, Rg  17.8 A, potential  -554.10
  50 / 5000 elapsed  3 system 0.80 temp 303.1 hbonds, Rg  17.7 A, potential  -561.26
  50 / 5000 elapsed  7 system 0.80 temp 296.6 hbonds, Rg  18.1 A, potential  -587.14
  50 / 5000 elapsed  2 system 0.80 temp 301.0 hbonds, Rg  17.6 A, potential  -546.19
 100 / 5000 elapsed  5 system 0.80 temp 300.5 hbonds, Rg  18.0 A, potential  -526.87
 100 / 5000 elapsed  1 system 0.80 temp 300.5 hbonds, Rg  18.1 A, potential  -572.07
 100 / 5000 elapsed  6 system 0.80 temp 303.5 hbonds, Rg  17.8 A, potential  -574.73
 100 / 5000 elapsed  0 system 0.80 temp 299.4 hbonds, Rg  17.8 A, potential  -531.82
 100 / 5000 elapsed  4 system 0.80 temp 305.4 hbonds, Rg  17.8 A, potential  -609.57
 100 / 5000 elapsed  3 system 0.80 temp 309.2 hbonds, Rg  17.7 A, potential  -602.03
 100 / 5000 elapsed  7 system 0.80 temp 305.1 hbonds, Rg  17.6 A, potential  -600.80
 100 / 5000 elapsed  2 system 0.80 temp 296.4 hbonds, Rg  17.8 A, potential  -507.29
 150 / 5000 elapsed  5 system 0.80 temp 312.9 hbonds, Rg  18.1 A, potential  -550.67
 150 / 5000 elapsed  1 system 0.80 temp 293.8 hbonds, Rg  18.2 A, potential  -545.91
 150 / 5000 elapsed  6 system 0.80 temp 306.1 hbonds, Rg  18.1 A, potential  -578.04
 150 / 5000 elapsed  0 system 0.80 temp 299.8 hbonds, Rg  17.9 A, potential  -582.35
 150 / 5000 elapsed  4 system 0.80 temp 300.7 hbonds, Rg  18.1 A, potential  -561.06
 150 / 5000 elapsed  3 system 0.80 temp 301.5 hbonds, Rg  17.8 A, potential  -555.20
 150 / 5000 elapsed  2 system 0.80 temp 300.4 hbonds, Rg  17.8 A, potential  -621.34
