invocation: /home/rob/github/upside2-md/obj/upside --duration 5000 --frame-interval 50 --temperature 0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999 --seed 1 --disable-z-recentering .//outputs/lateral_test/1qhj.run.0.up .//outputs/lateral_test/1qhj.run.1.up .//outputs/lateral_test/1qhj.run.2.up .//outputs/lateral_test/1qhj.run.3.up .//outputs/lateral_test/1qhj.run.4.up .//outputs/lateral_test/1qhj.run.5.up .//outputs/lateral_test/1qhj.run.6.up .//outputs/lateral_test/1qhj.run.7.up
random seed: 1
.//outputs/lateral_test/1qhj.run.0.up
n_atom 684

.//outputs/lateral_test/1qhj.run.1.up
n_atom 684

.//outputs/lateral_test/1qhj.run.2.up
n_atom 684

.//outputs/lateral_test/1qhj.run.3.up
n_atom 684

.//outputs/lateral_test/1qhj.run.4.up
n_atom 684

.//outputs/lateral_test/1qhj.run.5.up
n_atom 684

.//outputs/lateral_test/1qhj.run.6.up
n_atom 684

.//outputs/lateral_test/1qhj.run.7.up
n_atom 684


0 0.80
1 0.80
2 0.80
3 0.80
4 0.80
5 0.80
6 0.80
7 0.80

Initial potential energy: -546.14 -546.14 -546.14 -546.14 -546.14 -546.14 -546.14 -546.14
   0 / 5000 elapsed  6 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  0 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  2 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  5 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  1 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  4 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  7 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
   0 / 5000 elapsed  3 system 0.80 temp 241.7 hbonds, Rg  17.8 A, potential  -546.14
  50 / 5000 elapsed  1 system 0.80 temp 302.5 hbonds, Rg  17.8 A, potential  -594.41
  50 / 5000 elapsed  0 system 0.80 temp 296.5 hbonds, Rg  17.8 A, potential  -568.60
  50 / 5000 elapsed  6 system 0.80 temp 301.5 hbonds, Rg  17.6 A, potential  -532.75
  50 / 5000 elapsed  7 system 0.80 temp 295.3 hbonds, Rg  17.7 A, potential  -570.76
  50 / 5000 elapsed  2 system 0.80 temp 303.9 hbonds, Rg  17.8 A, potential  -599.27
  50 / 5000 elapsed  4 system 0.80 temp 304.3 hbonds, Rg  17.7 A, potential  -592.37
  50 / 5000 elapsed  5 system 0.80 temp 304.9 hbonds, Rg  18.0 A, potential  -566.31
  50 / 5000 elapsed  3 system 0.80 temp 299.3 hbonds, Rg  18.0 A, potential  -578.68
 100 / 5000 elapsed  1 system 0.80 temp 304.2 hbonds, Rg  18.0 A, potential  -575.88
 100 / 5000 elapsed  2 system 0.80 temp 298.2 hbonds, Rg  17.9 A, potential  -564.99
 100 / 5000 elapsed  0 system 0.80 temp 300.1 hbonds, Rg  17.7 A, potential  -548.29
 100 / 5000 elapsed  7 system 0.80 temp 298.8 hbonds, Rg  17.8 A, potential  -593.12
 100 / 5000 elapsed  3 system 0.80 temp 296.9 hbonds, Rg  17.9 A, potential  -568.45
 100 / 5000 elapsed  4 system 0.80 temp 303.1 hbonds, Rg  17.8 A, potential  -590.76
 100 / 5000 elapsed  6 system 0.80 temp 301.6 hbonds, Rg  17.9 A, potential  -567.17
 100 / 5000 elapsed  5 system 0.80 temp 309.1 hbonds, Rg  18.0 A, potential  -573.39
 150 / 5000 elapsed  7 system 0.80 temp 297.7 hbonds, Rg  17.7 A, potential  -610.29
 150 / 5000 elapsed  1 system 0.80 temp 308.3 hbonds, Rg  18.0 A, potential  -600.89
 150 / 5000 elapsed  0 system 0.80 temp 297.0 hbonds, Rg  17.7 A, potential  -637.30
 150 / 5000 elapsed  4 system 0.80 temp 307.1 hbonds, Rg  18.1 A, potential  -540.01
 150 / 5000 elapsed  2 system 0.80 temp 301.3 hbonds, Rg  18.0 A, potential  -591.98
 150 / 5000 elapsed  3 system 0.80 temp 302.4 hbonds, Rg  17.9 A, potential  -576.37
 150 / 5000 elapsed  5 system 0.80 temp 314.5 hbonds, Rg  18.2 A, potential  -577.03
 150 / 5000 elapsed  6 system 0.80 temp 302.2 hbonds, Rg  18.1 A, potential  -562.10
 200 / 5000 elapsed  7 system 0.80 temp 301.4 hbonds, Rg  17.7 A, potential  -624.86
 200 / 5000 elapsed  0 system 0.80 temp 303.8 hbonds, Rg  17.8 A, potential  -591.28
 200 / 5000 elapsed  3 system 0.80 temp 291.4 hbonds, Rg  17.8 A, potential  -585.52
 200 / 5000 elapsed  1 system 0.80 temp 301.7 hbonds, Rg  18.1 A, potential  -557.78
 200 / 5000 elapsed  6 system 0.80 temp 301.1 hbonds, Rg  18.0 A, potential  -566.27
 200 / 5000 elapsed  2 system 0.80 temp 298.1 hbonds, Rg  18.2 A, potential  -545.59
 200 / 5000 elapsed  4 system 0.80 temp 308.2 hbonds, Rg  18.0 A, potential  -595.75
 200 / 5000 elapsed  5 system 0.80 temp 307.7 hbonds, Rg  18.1 A, potential  -541.87
 250 / 5000 elapsed  0 system 0.80 temp 302.3 hbonds, Rg  17.7 A, potential  -553.89
 250 / 5000 elapsed  1 system 0.80 temp 293.7 hbonds, Rg  18.4 A, potential  -526.95
 250 / 5000 elapsed  7 system 0.80 temp 300.6 hbonds, Rg  17.6 A, potential  -599.69
 250 / 5000 elapsed  3 system 0.80 temp 301.4 hbonds, Rg  17.8 A, potential  -609.54
 250 / 5000 elapsed  4 system 0.80 temp 303.1 hbonds, Rg  18.0 A, potential  -605.25
 250 / 5000 elapsed  6 system 0.80 temp 297.0 hbonds, Rg  18.2 A, potential  -576.42
 250 / 5000 elapsed  2 system 0.80 temp 303.7 hbonds, Rg  18.0 A, potential  -549.48
 250 / 5000 elapsed  5 system 0.80 temp 305.1 hbonds, Rg  18.1 A, potential  -564.25
 300 / 5000 elapsed  0 system 0.80 temp 304.2 hbonds, Rg  18.2 A, potential  -644.27
 300 / 5000 elapsed  7 system 0.80 temp 298.8 hbonds, Rg  17.6 A, potential  -582.48
 300 / 5000 elapsed  1 system 0.80 temp 297.1 hbonds, Rg  18.2 A, potential  -583.41
 300 / 5000 elapsed  3 system 0.80 temp 302.9 hbonds, Rg  17.8 A, potential  -593.69
 300 / 5000 elapsed  4 system 0.80 temp 301.8 hbonds, Rg  17.8 A, potential  -587.50
 300 / 5000 elapsed  6 system 0.80 temp 304.4 hbonds, Rg  18.3 A, potential  -555.20
 300 / 5000 elapsed  2 system 0.80 temp 300.1 hbonds, Rg  18.0 A, potential  -589.95
 300 / 5000 elapsed  5 system 0.80 temp 295.7 hbonds, Rg  17.8 A, potential  -541.44
 350 / 5000 elapsed  0 system 0.80 temp 303.6 hbonds, Rg  18.2 A, potential  -585.11
 350 / 5000 elapsed  7 system 0.80 temp 307.0 hbonds, Rg  17.7 A, potential  -622.69
 350 / 5000 elapsed  1 system 0.80 temp 299.1 hbonds, Rg  17.9 A, potential  -613.57
 350 / 5000 elapsed  3 system 0.80 temp 301.2 hbonds, Rg  17.9 A, potential  -568.32
 350 / 5000 elapsed  4 system 0.80 temp 303.5 hbonds, Rg  17.9 A, potential  -600.49
 350 / 5000 elapsed  6 system 0.80 temp 294.0 hbonds, Rg  18.2 A, potential  -579.90
 350 / 5000 elapsed  2 system 0.80 temp 302.8 hbonds, Rg  18.2 A, potential  -594.29
 350 / 5000 elapsed  5 system 0.80 temp 298.6 hbonds, Rg  17.9 A, potential  -610.27
 400 / 5000 elapsed  7 system 0.80 temp 297.9 hbonds, Rg  17.8 A, potential  -572.59
 400 / 5000 elapsed  0 system 0.80 temp 304.3 hbonds, Rg  18.2 A, potential  -592.98
 400 / 5000 elapsed  1 system 0.80 temp 302.9 hbonds, Rg  17.9 A, potential  -545.89
 400 / 5000 elapsed  3 system 0.80 temp 302.8 hbonds, Rg  17.9 A, potential  -541.80
 400 / 5000 elapsed  4 system 0.80 temp 299.6 hbonds, Rg  17.9 A, potential  -618.25
 400 / 5000 elapsed  6 system 0.80 temp 299.1 hbonds, Rg  18.1 A, potential  -597.65
 400 / 5000 elapsed  2 system 0.80 temp 301.9 hbonds, Rg  18.2 A, potential  -546.29
 400 / 5000 elapsed  5 system 0.80 temp 308.8 hbonds, Rg  17.9 A, potential  -612.07
 450 / 5000 elapsed  0 system 0.80 temp 299.8 hbonds, Rg  17.9 A, potential  -564.68
 450 / 5000 elapsed  7 system 0.80 temp 297.3 hbonds, Rg  17.7 A, potential  -598.40
 450 / 5000 elapsed  1 system 0.80 temp 301.3 hbonds, Rg  18.0 A, potential  -554.56
 450 / 5000 elapsed  4 system 0.80 temp 293.1 hbonds, Rg  18.0 A, potential  -506.48
 450 / 5000 elapsed  3 system 0.80 temp 301.8 hbonds, Rg  17.9 A, potential  -595.70
 450 / 5000 elapsed  2 system 0.80 temp 304.2 hbonds, Rg  18.0 A, potential  -586.11
 450 / 5000 elapsed  5 system 0.80 temp 308.6 hbonds, Rg  17.8 A, potential  -596.90
 450 / 5000 elapsed  6 system 0.80 temp 295.3 hbonds, Rg  18.2 A, potential  -560.84
 500 / 5000 elapsed  0 system 0.80 temp 305.7 hbonds, Rg  18.2 A, potential  -603.78
 500 / 5000 elapsed  7 system 0.80 temp 298.6 hbonds, Rg  17.6 A, potential  -587.90
 500 / 5000 elapsed  4 system 0.80 temp 298.4 hbonds, Rg  18.0 A, potential  -648.80
 500 / 5000 elapsed  3 system 0.80 temp 308.1 hbonds, Rg  17.7 A, potential  -608.85
 500 / 5000 elapsed  1 system 0.80 temp 298.5 hbonds, Rg  18.2 A, potential  -615.99
 500 / 5000 elapsed  2 system 0.80 temp 304.2 hbonds, Rg  18.2 A, potential  -607.58
 500 / 5000 elapsed  5 system 0.80 temp 308.4 hbonds, Rg  17.9 A, potential  -626.54
 500 / 5000 elapsed  6 system 0.80 temp 299.5 hbonds, Rg  18.1 A, potential  -551.65
 550 / 5000 elapsed  0 system 0.80 temp 307.4 hbonds, Rg  18.1 A, potential  -634.81
 550 / 5000 elapsed  7 system 0.80 temp 295.6 hbonds, Rg  17.4 A, potential  -605.36
 550 / 5000 elapsed  4 system 0.80 temp 303.0 hbonds, Rg  17.9 A, potential  -599.69
 550 / 5000 elapsed  3 system 0.80 temp 301.9 hbonds, Rg  17.7 A, potential  -584.03
 550 / 5000 elapsed  1 system 0.80 temp 298.8 hbonds, Rg  18.2 A, potential  -577.20
 550 / 5000 elapsed  5 system 0.80 temp 306.1 hbonds, Rg  18.1 A, potential  -606.82
 550 / 5000 elapsed  2 system 0.80 temp 303.4 hbonds, Rg  18.2 A, potential  -617.08
 550 / 5000 elapsed  6 system 0.80 temp 293.2 hbonds, Rg  18.2 A, potential  -551.57
 600 / 5000 elapsed  0 system 0.80 temp 306.6 hbonds, Rg  18.5 A, potential  -559.27
 600 / 5000 elapsed  4 system 0.80 temp 296.9 hbonds, Rg  18.0 A, potential  -537.84
 600 / 5000 elapsed  3 system 0.80 temp 306.7 hbonds, Rg  17.6 A, potential  -644.43
 600 / 5000 elapsed  7 system 0.80 temp 303.3 hbonds, Rg  17.5 A, potential  -658.45
 600 / 5000 elapsed  1 system 0.80 temp 302.3 hbonds, Rg  18.2 A, potential  -555.49
 600 / 5000 elapsed  5 system 0.80 temp 304.8 hbonds, Rg  17.8 A, potential  -624.00
 600 / 5000 elapsed  2 system 0.80 temp 294.3 hbonds, Rg  18.2 A, potential  -542.39
 600 / 5000 elapsed  6 system 0.80 temp 297.3 hbonds, Rg  18.0 A, potential  -603.34
 650 / 5000 elapsed  4 system 0.80 temp 295.8 hbonds, Rg  18.0 A, potential  -584.40
 650 / 5000 elapsed  3 system 0.80 temp 297.0 hbonds, Rg  17.9 A, potential  -635.55
 650 / 5000 elapsed  0 system 0.80 temp 305.8 hbonds, Rg  18.3 A, potential  -573.85
 650 / 5000 elapsed  7 system 0.80 temp 306.1 hbonds, Rg  17.5 A, potential  -650.56
 650 / 5000 elapsed  5 system 0.80 temp 308.8 hbonds, Rg  17.8 A, potential  -658.05
